firstAffiliation,nation,city_state,cleaned_city_state
"research triangle park, durham, north carolina.",usa," durham, north carolina.","durham, north carolina."
"childrens hospital of philadelphia, philadelphia, pennsylvania.",usa," response: philadelphia, pennsylvania.","philadelphia, pennsylvania."
"department of medicine, mazankowski alberta heart institute and university of alberta, edmonton, alberta, canada.",canada,,
"barbara davis center for childhood diabetes, aurora, colorado.",usa," response: aurora, colorado.","aurora, colorado."
"st luke's mountain states tumor institute, boise, idaho.",usa," boise, idaho.","boise, idaho."
"department of cardiology, south tees hospitals nhs foundation trust, middlesbrough, united kingdom.",uk (united kingdom),,
"private practice, mount pleasant, south carolina.",usa," mount pleasant, south carolina.","mount pleasant, south carolina."
"university of pennsylvania school for social policy and practice, philadelphia.",usa," response: philadelphia, pa","philadelphia, pa"
"division of cardiology, department of medicine, cornell university medical center, new york presbyterian hospital, new york, new york.",usa," new york, new york.","new york, new york."
"corvalis, oregon.",usa," corvalis, oregon.","corvalis, oregon."
"biomedical communications graduate program, institute of medical science, temerty faculty of medicine, university of toronto, toronto, canada.",canada,,
"department of geriatrics, suny upstate medical university, syracuse, new york.",usa," syracuse, new york.","syracuse, new york."
"department of pediatrics, universidad del valle, cali, colombia.",colombia,,
"department of biostatistics, chu lille, lille, france.",france,,
"department of neurology and stroke center, ap-hp bichat hospital, paris, france.",france,,
"department of anesthesiology, nemours children's health, orlando, florida.",usa," orlando, florida.","orlando, florida."
"neurólogos de occidente, cali, colombia.",colombia,,
"weill institute for neurosciences, department of neurology, university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"department of internal medicine, universidad del valle, cali, colombia.",colombia,,
"department of public health, universidad icesi, cali, colombia.",colombia,,
"executive publisher, jama network.",usa, response: unknown (as there is no specific city,unknown
"school of dentistry, university of michigan, ann arbor.",usa," ann arbor, mi","ann arbor, mi"
"indoor environment group, lawrence berkeley national laboratory, berkeley, california.",usa," response: berkeley, ca","berkeley, ca"
"school of medicine, university of british columbia, vancouver, canada.",canada,,
"human science and family medicine, georgetown university school of health, washington, dc.",usa," washington, dc","washington, dc"
"center for key populations, community health center inc, middletown, connecticut.",usa," middletown, connecticut.","middletown, connecticut."
"division of infectious diseases, department of medicine, university of miami miller school of medicine, miami, florida.",usa," miami, florida.","miami, florida."
"michigan medicine, university of michigan, ann arbor.",usa," ann arbor, mi","ann arbor, mi"
"department of anesthesiology, intensive care and pain medicine, university of helsinki, helsinki, finland.",finland,,
"rti international-university of north carolina evidence-based practice center, chapel hill.",usa," Chapel Hill, NC","Chapel Hill, NC"
